Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"159,756.00",1.71,"43,089.53",15.85,16.63,"37,757.81","64,602.00",532.05,"41,577.75",119,567868018
"160,186.00",1.6,"39,264.92",14.99,17.28,"36,687.81","58,867.95",300.35,"41,593.65",123,581087256
"161,044.00",1.73,"44,073.36",17.78,17.63,"38,285.01","66,077.01",264,"42,310.84",144,594770134
"161,501.00",1.57,"39,786.55",41.43,15.93,"37,888.40","59,650.00",109.47,"41,890.58",163,608802600
"161,838.00",1.86,"48,925.78",18.29,21.59,"39,475.41","73,352.00",276.82,"47,148.31",158,623102897
"162,057.00",1.64,"42,055.62",37.9,21.08,"38,511.10","63,051.90",411.38,"44,435.94",161,637630087
"162,059.00",1.96,"52,696.74",18.82,26.51,"40,282.61","79,005.60",132.68,"50,782.60",186,652408776
"163,239.00",1.99,"53,765.87",143.52,31.43,"40,482.21","80,608.50",3.91,"51,607.88",206,667499806
"163,444.00",1.61,"42,338.29",329.42,32.26,"39,414.30","63,475.70",3.32,"46,092.77",224,682995354
"162,854.00",2,"53,568.10",481.03,33.97,"40,151.50","80,312.00",4.18,"49,611.22",276,698952844
"162,912.00",1.96,"53,281.97",963.84,37.35,"40,708.40","79,883.01",51.45,"50,339.67",281,715384993
"163,246.00",1.85,"47,204.72",537.26,35.93,"38,262.00","70,771.70",21.16,"52,211.84",284,732239504
"162,732.00",2.18,"60,062.02",230.21,40.78,"41,244.00","90,048.00",208.87,"57,513.41",304,749428958
"163,618.00",2.13,"58,397.72",198.36,48.89,"41,158.80","87,552.80",503.53,"57,673.51",289,766833410
"163,540.00",2.33,"63,910.40",315.07,52.99,"41,137.20","95,817.70",55.84,"61,096.11",311,784360008
"163,409.00",2.21,"60,549.86",252.86,58.86,"41,166.70","90,779.41",21.06,"59,293.53",324,801975244
"163,205.00",2.2,"56,920.92",388.68,51.12,"38,806.30","85,338.70",5.27,"63,668.95",356,819682102
"162,868.00",2.55,"70,947.99",349.55,66.1,"41,735.81","106,368.80",703.4,"71,315.06",368,837468930
"163,476.00",2.62,"73,577.17",421.75,69.21,"42,166.90","110,310.61",468.63,"73,746.99",361,855334678
"163,459.00",2.61,"74,382.10",505.02,73.52,"42,686.61","111,517.41",66.04,"74,021.96",385,873277798
"163,182.00",2.63,"74,732.01",678.24,78,"42,648.70","112,042.00",12.12,"74,151.82",318,891273209
"162,706.00",2.61,"72,703.80",580.4,74.7,"41,775.00","109,001.20",102.38,"72,297.13",332,909307016
"162,586.00",2.83,"80,306.80",767.68,76.18,"42,539.00","120,400.00",75.52,"76,650.36",315,927403860
